id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
464172,Home in Vancouver · ★4.88 · 2 bedrooms · 2 beds · 1 bath,2189535,Martine,,Hastings-Sunrise,49.28586,-123.05563,Entire home/apt,200,30,8,2023-08-05,0.07,1,199,3,23-157520
475296,Loft in Vancouver · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,2356016,Jocelyn,,Downtown Eastside,49.28241,-123.10381,Entire home/apt,371,2,216,2023-08-27,1.76,1,333,32,23-156695
496298,Rental unit in Vancouver · ★4.92 · 1 bedroom · 3 beds · 1 bath,2451689,Marlin,,Downtown,49.28062,-123.11815,Entire home/apt,113,31,165,2023-08-27,1.21,1,170,6,
498112,Home in Vancouver · ★4.71 · 4 bedrooms · 4 beds · 2 baths,2459577,Allison,,Kensington-Cedar Cottage,49.25099,-123.07457,Entire home/apt,375,9,36,2023-07-29,0.27,2,189,1,23-156712
507767,Serviced apartment in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,2502595,Level Hotels And Furnished Suites,,Downtown,49.27741,-123.12292,Entire home/apt,260,30,4,2023-07-31,0.03,41,299,1,
540348,Home in Vancouver · ★4.92 · 3 bedrooms · 3 beds · 1 bath,2655554,Kristen,,Kensington-Cedar Cottage,49.25759,-123.06393,Entire home/apt,420,1,90,2023-08-20,0.74,1,361,32,23-156786
557357,Home in Vancouver · ★4.89 · 1 bedroom · 1 bed · 1 bath,525761,Diane,,Grandview-Woodland,49.27917,-123.06246,Entire home/apt,90,30,194,2022-10-31,1.43,1,75,2,19-114782
622217,Condo in Vancouver · ★4.97 · 3 bedrooms · 3 beds · 2 baths,3084195,Arash,,Downtown,49.27999,-123.1075,Entire home/apt,1047,2,59,2023-06-15,0.48,2,340,3,23-156527
625396,Home in Vancouver · ★4.76 · 1 bedroom · 2 beds · 1 bath,3102862,The Vancouver Connection!,,Kitsilano,49.270655316242745,-123.18291314738147,Entire home/apt,290,2,183,2023-08-12,1.36,1,86,14,23-158379
648026,Guest suite in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,893727,Peter & Robin,,Grandview-Woodland,49.26775,-123.06862,Entire home/apt,110,30,66,2023-08-05,0.49,1,97,3,20-154141
654744,Rental unit in Vancouver · ★4.73 · 2 bedrooms · 3 beds · 2 baths,2796859,James,,West End,49.29178,-123.14175,Entire home/apt,150,30,73,2023-07-31,0.58,1,188,6,19-104667
654763,Guest suite in Vancouver · ★4.73 · 1 bedroom · 1 bed · 1 bath,2459577,Allison,,Kensington-Cedar Cottage,49.2506,-123.07175,Entire home/apt,52,30,24,2023-05-14,0.19,2,0,2,
659986,Home in Vancouver · ★4.33 · 1 bedroom · 1 bed · 1 private bath,84820,Chris,,South Cambie,49.24413,-123.11955,Private room,101,31,27,2018-05-06,0.21,1,0,0,86-13134
703179,Condo in Vancouver · ★4.80 · 1 bedroom · 1 bed · 1 bath,3246254,Izabela,,Downtown,49.27945,-123.10875,Entire home/apt,145,3,178,2023-08-27,1.37,1,8,5,23-156717
713271,Rental unit in Vancouver · ★4.77 · 1 bedroom · 1 bed · 1 bath,3671073,Susan,,West End,49.28104,-123.13621,Entire home/apt,135,30,92,2023-08-17,0.74,1,256,5,
731219,Guesthouse in Vancouver · ★4.92 · 1 bedroom · 2 beds · 1 bath,3804851,Fran & Julian,,Kitsilano,49.26026,-123.18195,Entire home/apt,155,31,13,2022-10-11,0.11,1,13,1,
735468,Rental unit in Vancouver · ★4.63 · 1 bedroom · 2 beds · 1 bath,3462044,Shea,,West End,49.28059,-123.1364,Entire home/apt,257,1,210,2023-09-03,3.23,1,354,41,23-157433
755558,Guest suite in Vancouver · ★4.86 · 2 bedrooms · 2 beds · 1 bath,3976484,Lori,,Kitsilano,49.25996,-123.16653,Entire home/apt,125,2,78,2021-01-23,0.63,1,0,0,21-157483
763445,Guest suite in Vancouver · ★4.78 · 1 bedroom · 1 bed · 1 bath,169365,Peter,,Renfrew-Collingwood,49.24438,-123.04453,Entire home/apt,72,4,227,2023-08-21,1.75,1,37,37,23-156422
771366,Serviced apartment in Vancouver · ★5.0 · Studio · 1 bed · 1 bath,2502595,Level Hotels And Furnished Suites,,Downtown,49.278350830078125,-123.1224136352539,Entire home/apt,240,30,9,2023-06-28,0.07,41,271,3,
771380,Serviced apartment in Vancouver · ★4.73 · 2 bedrooms · 3 beds · 2 baths,2502595,Level Hotels And Furnished Suites,,Downtown,49.278350830078125,-123.1224136352539,Entire home/apt,385,30,11,2023-09-02,0.09,41,364,2,
784153,Guest suite in Vancouver · ★4.78 · 1 bedroom · 1 bed · 1 bath,3211112,Rasha,,Kitsilano,49.26186,-123.17438,Entire home/apt,74,30,61,2023-07-29,0.47,4,35,7,Long Term Listing
785297,Guest suite in Vancouver · ★4.87 · 1 bedroom · 1 bed · 1 private bath,3211112,Rasha,,Kitsilano,49.26355,-123.17326,Private room,107,14,82,2023-08-22,0.62,4,25,10,23-156379
785752,Guest suite in Vancouver · ★5.0 · 2 bedrooms · 3 beds · 2 baths,3211112,Rasha,,Kitsilano,49.26213,-123.17482,Entire home/apt,134,30,3,2016-09-17,0.02,4,292,0,Long Term Rental Only
796603,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 shared bath,4196444,Milorad,,West End,49.28087,-123.13525,Shared room,30,30,0,,,1,0,0,
801222,Rental unit in Vancouver · ★4.59 · 1 bedroom · 1 bed · 1 bath,4217281,Jennifer,,Fairview,49.25804,-123.12119,Entire home/apt,78,30,23,2021-10-26,0.18,3,167,0,
824612,Guest suite in Vancouver · ★4.61 · 1 bedroom · 1 bed · 1 bath,4326869,Marketa,,Hastings-Sunrise,49.28618,-123.05403,Entire home/apt,84,31,72,2023-04-04,0.55,1,19,4,
874731,Townhouse in Vancouver · ★4.50 · 1 bedroom · 1 bed · 1 private bath,2216706,Matthew,,Fairview,49.25785,-123.12199,Private room,139,8,71,2023-08-21,0.57,1,59,8,23-56728
875309,Home in Vancouver · ★4.74 · 2 bedrooms · 2 beds · 1.5 baths,4621004,Judy,,Kitsilano,49.27073,-123.16325,Entire home/apt,375,7,36,2023-08-27,0.28,1,0,1,23-156622
885600,Guest suite in Vancouver · ★4.92 · 1 bedroom · 1 bed · 1 bath,4693732,David & Patti,,Dunbar Southlands,49.24803,-123.18517,Entire home/apt,130,3,267,2023-08-27,2.08,1,149,38,23-156307
961006,Guest suite in Vancouver · ★4.33 · 2 bedrooms · 2 beds · 1 bath,5233549,Joyce,,Riley Park,49.23569,-123.10987,Entire home/apt,219,1,7,2017-07-21,0.06,4,0,0,20-185023
