id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
872254584982165950,Home in Vancouver · ★New · 3 bedrooms · 3 beds · 1 bath,455269379,Viet Cong,,Renfrew-Collingwood,49.24788256591023,-123.0241595,Entire home/apt,332,1,0,,,3,146,0,23-158500
872271856870632624,Home in Vancouver · ★New · 6 bedrooms · 6 beds · 2 baths,455269379,Viet Cong,,Renfrew-Collingwood,49.248076323048416,-123.02509488504622,Entire home/apt,293,2,0,,,3,152,0,23-158500
872368827432465536,Rental unit in Vancouver · ★New · 1 bedroom · 2 beds · 1 bath,333426323,Jessica,,Downtown,49.27744981270321,-123.12403673529889,Entire home/apt,126,30,0,,,16,276,0,Exempt
872402152672368559,Rental unit in Vancouver · ★New · 3 bedrooms · 3 beds · 2 baths,346562402,Zodiac,,Riley Park,49.24048882849076,-123.11526915969797,Entire home/apt,254,28,1,2023-05-03,0.77,16,263,1,23-879876
872477656360128660,Home in Vancouver · ★5.0 · 3 bedrooms · 4 beds · 2 baths,167328182,Don,,Hastings-Sunrise,49.28686029879047,-123.04812418325938,Entire home/apt,338,2,11,2023-06-03,7.50,3,86,11,23-187169
872490495087211518,Home in Vancouver · ★New · 2 bedrooms · 2 beds · 1 bath,510671454,Charles,,Sunset,49.227438956961244,-123.09985836370603,Entire home/apt,189,2,2,2023-06-06,2,2,47,2,23-199773
872498104470858361,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1 shared bath,510457726,Su,,Victoria-Fraserview,49.23284141404423,-123.06392256633126,Private room,65,31,2,2023-05-29,2,3,85,2,
872501886847947849,Bed and breakfast in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,385398255,Yi Yun,,Dunbar Southlands,49.25700956133191,-123.19232540228404,Private room,102,1,0,,,3,255,0,
872539425357397522,Home in Vancouver · ★New · 2 bedrooms · 2 beds · 1 bath,191292516,Xinmiao,,Kerrisdale,49.23109168929842,-123.15432362258434,Entire home/apt,183,2,2,2023-06-06,2,2,29,2,23-158433
872593815238823782,Home in Vancouver · ★New · 4 bedrooms · 4 beds · 1.5 baths,191292516,Xinmiao,,Kerrisdale,49.23209,-123.15495,Entire home/apt,233,2,1,2023-06-05,1,2,25,1,23-158433
872759139209238330,Guest suite in Vancouver · ★5.0 · 1 bedroom · 2 beds · 1 bath,50931826,Gabrielle,,Grandview-Woodland,49.2741135,-123.065908,Entire home/apt,189,2,4,2023-05-28,2.79,1,102,4,23-158615
872779770188052552,Home in Vancouver · ★4.67 · 1 bedroom · 1 bed · 1 bath,22603103,Ilya/ Lena,,Grandview-Woodland,49.27049443470002,-123.06435601530151,Private room,100,1,6,2023-05-31,3.67,4,341,6,
872852188124398534,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 shared bath,125891752,Nimrah,,Fairview,49.25977,-123.12676,Private room,75,30,0,,,3,35,0,
872856520904679771,Rental unit in Vancouver · ★4.40 · 1 bedroom · 1 bed · 1 bath,311682442,Spencer,,West End,49.281812585502635,-123.13247358035059,Entire home/apt,239,2,5,2023-06-05,4.29,1,74,5,17-776951
873041376969359935,Home in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 private bath,495944342,Maria,,Renfrew-Collingwood,49.246212024658476,-123.05232734344112,Private room,100,1,4,2023-06-04,4,3,330,4,
873121677689840173,Home in Vancouver · ★New · 3 bedrooms · 4 beds · 2 baths,173557229,Anuk,,Mount Pleasant,49.25985204070683,-123.08994965284404,Entire home/apt,280,3,0,,,1,5,0,23-131395
873158150096406671,Home in Vancouver · ★4.20 · 7 bedrooms · 7 beds · 3.5 baths,227662329,Jordan,,Oakridge,49.22882526023966,-123.12742591127864,Entire home/apt,1166,2,5,2023-06-02,4.05,112,320,5,23-235378
873347642082088860,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,74299639,Claudio,,Downtown,49.27311,-123.12111,Private room,76,30,0,,,1,159,0,
873420573288748630,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,94416838,Jacky,,Victoria-Fraserview,49.22820019012856,-123.0654414597799,Private room,77,1,2,2023-05-28,2,1,29,2,23-156606
